Animal,Dam,Sire,Family_text,Family_Number,Treatment,Size,Score,Aragonite,Predicted_mortality
 S.COARL2.01.01,F1,M1,one,1,SW,77.26,D,2,
 S.COARL2.01.02,F1,M1,one,1,SW,70.77,E,2,
 S.COARL2.01.03,F1,M1,one,1,SW,76.26,D,2,
 S.COARL2.01.04,F1,M1,one,1,SW,75.16,E,2,
 S.COARL2.01.05,F1,M1,one,1,SW,71.56,C,2,
 S.COARL2.01.06,F1,M1,one,1,SW,71.73,G,2,
 S.COARL2.01.07,F1,M1,one,1,SW,74.56,E,2,
 S.COARL2.01.08,F1,M1,one,1,SW,75.2,B,2,
 S.COARL2.01.09,F1,M1,one,1,SW,72.24,D,2,
 S.COARL2.01.10,F1,M1,one,1,SW,70.52,G,2,
 S.COARL2.01.11,F1,M1,one,1,SW,74.59,A,2,
 S.COARL2.01.12,F1,M1,one,1,SW,72.08,C,2,
 S.COARL2.01.13,F1,M1,one,1,SW,69.18,E,2,
 S.COARL2.01.14,F1,M1,one,1,SW,70.04,E,2,
 S.COARL2.01.15,F1,M1,one,1,SW,75.4,G,2,
 S.COARL2.01.16,F1,M1,one,1,SW,76.57,C,2,
 S.COARL2.01.17,F1,M1,one,1,SW,77.9,E,2,
 S.COARL2.01.18,F1,M1,one,1,SW,72.72,D,2,
 S.COARL2.01.19,F1,M1,one,1,SW,57.16,G,2,
 S.COARL2.01.20,F1,M1,one,1,SW,71.46,D,2,
 S.COARL2.01.21,F1,M1,one,1,SW,74.79,C,2,
 S.COARL2.01.22,F1,M1,one,1,SW,70.17,D,2,
 S.COARL2.01.23,F1,M1,one,1,SW,72.69,B,2,
 S.COARL2.01.24,F1,M1,one,1,SW,74.54,E,2,
 S.COARL2.01.25,F1,M1,one,1,SW,59.74,G,2,
 S.COARL2.01.26,F1,M1,one,1,SW,73.04,A,2,
 S.COARL2.01.27,F1,M1,one,1,SW,69.52,D,2,
 S.COARL2.01.28,F1,M1,one,1,SW,68.78,G,2,
 S.COARL2.01.29,F1,M1,one,1,SW,71.06,E,2,
 S.COARL2.01.30,F1,M1,one,1,SW,77.85,B,2,
 S.COARL2.02.01,F2,M1,two,2,SW,74.82,G,2,
 S.COARL2.02.02,F2,M1,two,2,SW,76.84,G,2,
 S.COARL2.02.03,F2,M1,two,2,SW,70.15,G,2,
 S.COARL2.02.04,F2,M1,two,2,SW,77.72,G,2,
 S.COARL2.02.05,F2,M1,two,2,SW,75.9,G,2,
 S.COARL2.02.06,F2,M1,two,2,SW,77.84,G,2,
 S.COARL2.02.07,F2,M1,two,2,SW,72.95,G,2,
 S.COARL2.02.08,F2,M1,two,2,SW,70.51,D,2,
 S.COARL2.02.09,F2,M1,two,2,SW,70.02,D,2,
 S.COARL2.02.10,F2,M1,two,2,SW,74.13,D,2,
 S.COARL2.02.11,F2,M1,two,2,SW,78,G,2,
 S.COARL2.02.12,F2,M1,two,2,SW,71.83,G,2,
 S.COARL2.02.13,F2,M1,two,2,SW,70.52,G,2,
 S.COARL2.02.14,F2,M1,two,2,SW,78.68,G,2,
 S.COARL2.02.15,F2,M1,two,2,SW,74.9,G,2,
 S.COARL2.02.16,F2,M1,two,2,SW,78.41,G,2,
 S.COARL2.02.17,F2,M1,two,2,SW,81.55,G,2,
 S.COARL2.02.18,F2,M1,two,2,SW,80.01,G,2,
 S.COARL2.02.19,F2,M1,two,2,SW,77.67,G,2,
 S.COARL2.02.20,F2,M1,two,2,SW,78.8,D,2,
 S.COARL2.02.21,F2,M1,two,2,SW,76.28,G,2,
 S.COARL2.02.22,F2,M1,two,2,SW,76.08,G,2,
 S.COARL2.02.23,F2,M1,two,2,SW,81.5,D,2,
 S.COARL2.02.24,F2,M1,two,2,SW,76.8,G,2,
 S.COARL2.02.25,F2,M1,two,2,SW,77.66,G,2,
 S.COARL2.02.26,F2,M1,two,2,SW,76.83,G,2,
 S.COARL2.02.27,F2,M1,two,2,SW,78.32,G,2,
 S.COARL2.02.28,F2,M1,two,2,SW,77.44,G,2,
 S.COARL2.02.29,F2,M1,two,2,SW,79.73,G,2,
 S.COARL2.02.30,F2,M1,two,2,SW,76.86,G,2,
 S.COARL2.03.01,F2,M2,three,3,SW,71.04,G,2,
 S.COARL2.03.02,F2,M2,three,3,SW,75.53,G,2,
 S.COARL2.03.03,F2,M2,three,3,SW,64.35,B,2,
 S.COARL2.03.04,F2,M2,three,3,SW,76.11,G,2,
 S.COARL2.03.05,F2,M2,three,3,SW,73.72,G,2,
 S.COARL2.03.06,F2,M2,three,3,SW,78.39,G,2,
 S.COARL2.03.07,F2,M2,three,3,SW,75.43,G,2,
 S.COARL2.03.08,F2,M2,three,3,SW,79.22,G,2,
 S.COARL2.03.09,F2,M2,three,3,SW,75.01,G,2,
 S.COARL2.03.10,F2,M2,three,3,SW,70.17,G,2,
 S.COARL2.03.11,F2,M2,three,3,SW,75.45,G,2,
 S.COARL2.03.12,F2,M2,three,3,SW,76.56,G,2,
 S.COARL2.03.13,F2,M2,three,3,SW,77.2,G,2,
 S.COARL2.03.14,F2,M2,three,3,SW,73.48,G,2,
 S.COARL2.03.15,F2,M2,three,3,SW,73.87,G,2,
 S.COARL2.03.16,F2,M2,three,3,SW,71.94,G,2,
 S.COARL2.03.17,F2,M2,three,3,SW,75.48,G,2,
 S.COARL2.03.18,F2,M2,three,3,SW,76.42,G,2,
 S.COARL2.03.19,F2,M2,three,3,SW,77.51,G,2,
